,Año,Premiada,País,Categoría,Motivación
0,1903,"Curie, MarieMarie Curie(compartido con Pierre Curie y Henri Becquerel)", Francia Polonia,Física,«En reconocimiento a los extraordinarios servicios que han prestado con sus investigaciones conjuntas sobre los fenómenos de la radiación descubierta junto al profesor Henri Becquerel».[9]​
1,1905,"Suttner, Bertha vonBertha von Suttner", Austria-Hungría,Paz,"Presidenta honoraria de la Oficina Internacional por la Paz, Berna, Suiza. Autora de Lay Down Your Arms.[11]​"
2,1909,"Lagerlof, SelmaSelma Lagerlöf",Suecia Suecia,Literatura,"«En reconocimiento al elevado idealismo, la vívida imaginación y la percepción espiritual que caracterizan sus escritos».[12]​"
3,1911,"Curie, MarieMarie Curie", Francia Polonia,Química,Por su descubrimiento del radio y el polonio.[13]​
4,1926,"Deledda, GraziaGrazia Deledda", Italia,Literatura,"«Por sus escritos inspiradamente idealistas, que con claridad plástica dibujan la vida en su isla natal y que con profundidad y simpatía tratan los problemas humanos en general».[14]​"
5,1928,"Undset, SigridSigrid Undset","Noruega Noruega (Nacida en Kalundborg, actual Dinamarca)",Literatura,«Principalmente por sus poderosas descripciones de la vida de los nórdicos durante la Edad Media».[15]​
6,1931,"Addams, JaneJane Addams(compartido con Nicholas Murray Butler)", Estados Unidos,Paz,"Socióloga, pionera del trabajo social y el feminismo, presidenta de la Liga Internacional de Mujeres por la Paz y la Libertad.[16]​[17]​"
7,1935,"Joliot-Curie, IreneIrène Joliot-Curie(compartido con Frédéric Joliot-Curie)", Francia,Química,«Por su síntesis de nuevos elementos radiactivos».[18]​
8,1938,"Buck, Pearl S.Pearl S. Buck", Estados Unidos,Literatura,«Por sus descripciones ricas y verdaderamente épicas de la vida campesina en China y por sus obras maestras biográficas».[19]​
9,1945,"Mistral, GabrielaGabriela Mistral",Chile Chile,Literatura,"«Por su poesía lírica que, inspirada por poderosas emociones, ha hecho de su nombre un símbolo de las aspiraciones idealistas de todo el mundo latinoamericano».[20]​"
10,1946,"Balch, Emily GreeneEmily Greene Balch(compartido con John Raleigh Mott)", Estados Unidos,Paz,"Anteriormente profesora de Historia y Sociología, presidenta honoraria de la Liga Internacional de Mujeres por la Paz y la Libertad.[21]​"
11,1947,"Cori, Gerty TheresaGerty Theresa Cori(compartido con Carl Ferdinand Cori y Bernardo Houssay)"," Estados Unidos(Nacida en Praga, actual República Checa)",Fisiología o Medicina,«Por su descubrimiento del proceso de la conversión catalítica del glucógeno».[22]​
12,1963,"Goeppert-Mayer, MariaMaria Goeppert-Mayer(compartido con J. Hans D. Jensen y Eugene Wigner)"," Estados Unidos(Nacida en Katowice, actual Polonia)",Física,«Por sus descubrimientos sobre la estructura de capas nuclear».[23]​
13,1964,"Hodgkin, Dorothy CrowfootDorothy Crowfoot Hodgkin","Reino Unido Reino Unido(Nacida en El Cairo, actual Egipto)",Química,«Por determinar las estructuras de importantes sustancias bioquímicas por medio de técnicas de rayos X».[24]​
14,1966,"Sachs, NellyNelly Sachs(compartido con Samuel Agnon)","Suecia Suecia(Nacida en Schöneberg, actual Alemania)",Literatura,"«Por su destacada escritura lírica y dramática, que interpreta el destino de Israel con fuerza conmovedora».[25]​"
15,1976,"Williams, BettyBetty Williams",Reino Unido Reino Unido,Paz,"Fundadoras del Northern Ireland Peace Movement (Movimiento por la Paz de Irlanda del Norte), después renombrado Community of Peace People (Comunidad de Gente Pacífica).[26]​"
16,1976,"Maguire, MaireadMairead Maguire",Reino Unido Reino Unido,Paz,"Fundadoras del Northern Ireland Peace Movement (Movimiento por la Paz de Irlanda del Norte), después renombrado Community of Peace People (Comunidad de Gente Pacífica).[26]​"
17,1977,"Sussman Yalow, RosalynRosalyn Sussman Yalow(compartido con Roger Guillemin y Andrew Schally)", Estados Unidos,Fisiología o Medicina,«Por el desarrollo del radioinmunoanálisis de las hormonas peptídicas».[27]​
18,1979,Madre Teresa," India(Nacida en Skopie, actual Macedonia)",Paz,"Líder de las Misioneras de la Caridad, Calcuta.[28]​"
19,1982,"Myrdal, AlvaAlva Myrdal(compartido con Alfonso García Robles)",Suecia Suecia,Paz,"Exministra del gabinete, diplomática y escritora.[29]​"
20,1983,"McClintock, BarbaraBarbara McClintock", Estados Unidos,Fisiología o Medicina,«Por su descubrimiento de los elementos genéticos móviles».[30]​
21,1986,"Levi-Montalcini, RitaRita Levi-Montalcini(compartido con Stanley Cohen)", Estados UnidosItalia Italia,Fisiología o Medicina,«Por su descubrimiento de los factores de crecimiento».[31]​
22,1988,"Elion, Gertrude B.Gertrude B. Elion(compartido con James W. Black y George H. Hitchings)", Estados Unidos,Fisiología o Medicina,«Por su descubrimiento de importantes principios en el tratamiento con fármacos».[32]​
23,1991,"Gordimer, NadineNadine Gordimer", Sudáfrica,Literatura,«Quien a través de su magnífica escritura épica —en palabras de Alfred Nobel— ha sido de gran beneficio para la humanidad».[33]​
24,1991,"Suu Kyi, Aung SanAung San Suu Kyi", Birmania,Paz,«Por su lucha no violenta por la democracia y los derechos humanos».[34]​
25,1992,"Menchu, RigobertaRigoberta Menchú",Guatemala Guatemala,Paz,«En reconocimiento a su trabajo por la justicia social y la reconciliación etno-cultural basada en el respeto de los derechos de los pueblos indígenas».[35]​
26,1993,"Morrison, ToniToni Morrison", Estados Unidos,Literatura,"«Quien en novelas caracterizadas por su fuerza visionaria y transcendencia poética, da vida a un aspecto esencial de la realidad estadounidense».[36]​"
27,1995,"Nusslein-Volhard, ChristianeChristiane Nüsslein-Volhard(compartido con Edward B. Lewis y Eric F. Wieschaus)",Alemania Alemania,Fisiología o Medicina,«Por sus descubrimientos sobre el control genético del desarrollo embrionario temprano».[37]​
